SIGLA|DISCIPLINA|T|P|I|RECOMENDAÇÃO
NHZ3026-15|Introdução à Física Nuclear|4|0|4|Funções de várias variáveis; Mecânica Quântica I
MCTC014-13|Introdução à Inferência Estatística|3|1|4|Introdução à Probabilidade e à Estatística
ESZI045-17|Introdução à Linguística Computacional|3|1|4|Bases Computacionais da Ciência
ESZB036-17|Introdução à Mecânica Biofluídica|2|2|4|Fenômenos de Transporte
MCZB018-13|Introdução à Modelagem e Processos Estocásticos|3|1|4|Introdução à Probabilidade e à Estatística
MCTC002-15|Introdução à Neurociência|4|0|5|Não há
MCTC021-15|Introdução à Neurociência Computacional|2|2|4|Introdução à Neurociência; Processamento da Informação; Introdução às Equações Diferenciais Ordinárias
BIN0406-15|Introdução à Probabilidade e à Estatística|3|0|4|Funções de uma Variável
MCZA032-17|Introdução à Programação de Jogos|2|2|4|Geometria Analítica; Algoritmos e Estruturas de Dados I; Computação Gráfica
ESZP025-13|Introdução à Prospecção Tecnológica|4|0|4|Não há
MCZC003-15|Introdução à Psicolinguística e Neurociência da Linguagem|4|0|4|Psicologia Cognitiva
ESZB014-17|Introdução à Robótica|2|2|4|Análise e Controle de Sistemas Mecânicos
NHZ4061-15|Introdução a Troca de Calor, Massa e Movimentação de Fluidos|4|0|4|Funções de uma variável; Fenômenos Mecânicos
ESTA021-17|Introdução ao Controle Discreto|3|0|4|Transformadas em Sinais e Sistemas Lineares
ESZA023-17|Introdução ao Controle Moderno|3|2|4|Análise de Sistemas Dinâmicos Lineares
ESHP012-13|Introdução ao Direito Administrativo|4|0|4|Não há
ESHP013-13|Introdução ao Direito Constitucional|4|0|4|Introdução ao Direito Constitucional
ESHR011-13|Introdução ao Estudo do Direito|4|0|4|Não há
ESZI035-17|Introdução ao Processamento de Sinais de Voz e Áudio|3|1|4|Processamento Digital de Sinais; Programação Estruturada
ESTA023-17|Introdução aos Processos de Fabricação|3|1|4|Sistemas CAD/CAM
ESTG017-17|Introdução aos Processos de Fabricação Metal - Mecânico|4|2|4|Sistemas CAD/CAE; Sistemas CAM
MCZB019-13|Introdução aos Processos Pontuais|4|0|4|Introdução à Probabilidade e à Estatística; Análise Real I
MCZB020-13|Introdução aos Sistemas Dinâmicos|4|0|4|Equações Diferenciais Ordinárias
ESTE016-17|Introdução aos Sistemas Elétricos de Potência|4|0|5|Circuitos Elétricos II
MCZB021-13|Introdução às Curvas Algébricas|4|0|4|Anéis e Corpos
ESTO005-17|Introdução às Engenharias|2|0|4|Não há
BCN0405-15|Introdução às Equações Diferenciais Ordinárias|4|0|4|Funções de Várias Variáveis
BHO0001-15|Introdução às Humanidades e às Ciências Sociais|2|0|4|Não há
ESHP014-13|Introdução às Políticas Públicas|4|0|4|Não há
ESZS014-17|Introdução às Vibrações Não Lineares|4|0|4|Vibrações
ESZI034-17|Jogos Digitais: Aspectos Técnicos e Aplicações|1|3|4|Programação Baseada em Componentes para Jogos ou Programação Orientada a Objetos
ESZB015-17|Laboratório de Bioinformática|0|4|5|Introdução à Bioinformática
ESTE027-17|Laboratório de Calor e Fluidos|0|2|2|Mecânica dos Fluidos I; Mecânica dos Fluidos II; Transferência de Calor I; Transferência de Calor II
MCZA010-13|Laboratório de Engenharia de Software|0|4|4|Engenharia de Software
NHT3027-15|Laboratório de Física I|0|3|5|Fenômenos Mecânicos; Fenômenos Térmicos; Física do Contínuo; Funções de Várias Variáveis
NHT3028-15|Laboratório de Física II|0|3|5|Fenômenos Eletromagnéticos; Física Quântica; Funções de Várias Variáveis
NHT3065-15|Laboratório de Física III|0|3|5|Fenômenos Eletromagnéticos; Física Quântica; Funções de Várias Variáveis; Interações Atômicas e Moleculares
NHZ3080-15|Laboratório de Física Médica|0|3|5|Física Médica I
ESTS006-17|Laboratório de Guiagem, Navegação e Controle|0|4|4|Dinâmica e Controle de Veículos Espaciais
ESTA017-17|Laboratório de Máquinas Elétricas|0|2|4|Máquinas Elétricas
ESTE026-17|Laboratório de Máquinas Térmicas e Hidráulicas|0|2|4|Mecânica dos Fluidos II; Transferência de Calor II; Termodinâmica Aplicada I; Termodinâmica Aplicada II
NHZ3031-15|Laboratório de Propriedades Físicas de Materiais|2|2|4|Mecânica Quântica I; Estado Sólido
MCZA011-17|Laboratório de Redes|0|4|4|Redes de Computadores
MCZA012-13|Laboratório de Sistemas Operacionais|0|4|4|Sistemas Operacionais
NHZ3081-15|Lasers e Óptica Moderna|3|1|4|Física Quântica; Óptica; Funções de Várias Variáveis
ESTB010-17|Legislação Relacionada à Saúde|2|0|4|Princípios de Ética em Serviços de Saúde
NHI5015-15|LIBRAS|4|0|2|Não há
NHT4023-15|Ligações Químicas|4|0|6|Estrutura da Matéria
MCTA015-13|Linguagens Formais e Automata|3|1|4|Programação Estruturada
NHT4073-15|Livros Didáticos no Ensino de Química|4|0|4|Práticas de Ensino de Química I
NHI2049-13|Lógica Básica|4|0|4|Bases Epistemológicas da Ciência Moderna; Funções de uma Variável
NHZ2050-11|Lógica e os Fundamentos da Matemática|4|0|4|Lógica Básica
ESZG039-17|Lógica em Sistemas de Gestão|2|2|5|Não há
ESZA017-17|Lógica Programável|3|1|4|Eletrônica Digital
MCZA013-13|Lógicas Não Clássicas|4|0|4|Lógica Básica
ESZU013-17|Logística e Meio Ambiente|2|0|2|Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental; Engenharia Logística; Território e Logística
ESHC022-17|Macroeconomia I|4|0|4|Introdução à Economia
ESHC032-17|Macroeconomia II|4|0|4|Macroeconomia I
ESHC024-17|Macroeconomia III|4|0|3|Macroeconomia II
ESHC031-17|Macroeconomia Pós-Keynesiana|4|0|4|Macroeconomia I
ESZS025-17|Máquinas de Fluxo|4|0|4|Mecânica dos Fluidos I
ESTA016-17|Máquinas Elétricas|4|0|4|Circuitos Elétricos II
ESZE085-17|Máquinas Térmicas de Fluxo|4|0|4|Sistemas Térmicos
MCTB019-17|Matemática Discreta|4|0|4|Funções de Uma Variável
MCZD004-18|Matemática nos Anos Iniciais|2|2|4|Didática; Desenvolvimento e Aprendizagem; Didática da Matemática
ESTM017-17|Materiais Cerâmicos|4|0|4|Ciência dos Materiais
ESTM008-17|Materiais Compósitos|3|1|4|Materiais Poliméricos; Materiais Cerâmicos; Materiais Metálicos
ESTS009-17|Materiais Compósitos e Aplicações Estruturais|4|0|4|Materiais e suas Propriedades; Mecânica dos Sólidos I
ESTO006-17|Materiais e Suas Propriedades|3|1|5|Não há
ESZE108-17|Materiais e Tecnologias de Conversão Fotovoltaica|2|0|2|Engenharia Solar Fotovoltaica
ESTM005-17|Materiais Metálicos|4|0|4|Ciência dos Materiais
ESZM030-17|Materiais Nanoestruturados|4|0|4|Nanociência e Nanotecnologia
ESZM027-17|Materiais para Energia e Ambiente|4|0|4|Propriedades Elétricas, Magnéticas e Ópticas; Propriedades Mecânicas e Térmicas
ESZM028-17|Materiais para Tecnologia da Informação|4|0|4|Propriedades Elétricas, Magnéticas e Ópticas
ESTM006-17|Materiais Poliméricos|3|1|4|Ciência dos Materiais
ESZM021-17|Matérias Primas Cerâmicas|4|0|4|Materiais Cerâmicos
NHT3068-15|Mecânica Clássica I|4|0|4|Fenômenos Mecânicos; Física do Contínuo; Física Ondulatória; Funções de Várias Variáveis
NHT3069-15|Mecânica Clássica II|4|0|4|Mecânica Clássica I; Cálculo Vetorial e Tensorial
NHZ3075-15|Mecânica Clássica III|4|0|4|Mecânica Clássica II; Variáveis Complexas e Aplicações
ESTO015-17|Mecânica dos Fluidos I|4|0|5|Fenômenos Térmicos; Funções de Uma Variável; Funções de Várias Variáveis
ESTE024-17|Mecânica dos Fluidos II|4|0|5|Mecânica dos Fluidos I
ESTO008-17|Mecânica dos Sólidos I|3|1|5|Funções de Uma Variável; Fenômenos Mecânicos; Geometria Analítica; Fundamentos de Desenho Técnico
ESZS018-17|Mecânica dos Sólidos II|4|0|5|Mecânica dos Sólidos I
NHT3036-15|Mecânica Estatística|6|0|6|Mecânica Clássica I; Princípios de Termodinâmica
NHT3037-13|Mecânica Geral|4|0|4|Fenômenos Mecânicos; Geometria Analítica; Funções de uma Variável; Funções de várias Variáveis; Introdução às Equações Diferenciais e Ordinárias
NHT3072-15|Mecânica Quântica I|6|0|10|Física Quântica; Interações Atômicas e Moleculares; Funções de Várias Variáveis; Introdução às Equações Diferenciais Ordinárias; Álgebra Linear
NHT3073-15|Mecânica Quântica II|4|0|4|Mecânica Quântica I
NHZ3077-15|Mecânica Quântica III|4|0|4|Mecânica Quântica II
NHT4024-15|Mecanismos de Reações Orgânicas|4|0|6|Funções e Reações Orgânicas
NHZ4062-15|Meio Ambiente e Indústria|2|0|2|Não há
ESZP044-14|Meio Ambiente e Políticas Públicas|4|0|4|Não há
MCZC013-15|Memória e Aprendizagem|4|0|4|Psicologia Cognitiva
ESZP026-13|Memória, Identidades Sociais e Cidadania nas Sociedades Complexas Contemporâneas|4|0|4|Não há
ESZT006-17|Mercado Imobiliário|4|0|4|Não há
ESZM023-17|Metalurgia Física|4|0|4|Materiais Metálicos
MCZB022-17|Metateoremas da Lógica Clássica|4|0|4|Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Lógica Básica
ESZG042-17|Metodologia de Análise de Riscos|0|2|3|Engenharia Econômica Aplicada a Sistemas de Gestão
ESHR903-18|Metodologia de Pesquisa em Relações Internacionais (TCC 1)|4|0|4|Requisito: CPk ≥ 0,7 no Bacharelado em Relações Internacionais
ESTS011-17|Métodos Computacionais para Análise Estrutural|3|1|4|Cálculo Numérico; Técnicas de Análise Estrutural e Projeto
NHT4025-15|Métodos de Análise em Química Orgânica|4|0|4|Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas; Química Orgânica Experimental
